Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber
0 days 00:53:23.124000,HAD,6,0 days 00:01:22.997000,11.0,4.0,,,0 days 00:00:17.019000,0 days 00:00:36.034000,0 days 00:00:29.944000,0 days 00:52:17.146000,0 days 00:52:53.180000,0 days 00:53:23.124000,292.0,322.0,222.0,328.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:52:00.127000,,1,,,,False,True,24
0 days 01:05:09.953000,HAD,6,0 days 00:01:23.431000,14.0,5.0,,,0 days 00:00:17.123000,0 days 00:00:36.196000,0 days 00:00:30.112000,0 days 01:04:03.645000,0 days 01:04:39.841000,0 days 01:05:09.953000,291.0,321.0,218.0,327.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:03:46.522000,,1,,,,False,True,24
0 days 01:13:43.313000,HAD,6,0 days 00:01:23.072000,17.0,6.0,,,0 days 00:00:17.008000,0 days 00:00:36.141000,0 days 00:00:29.923000,0 days 01:12:37.249000,0 days 01:13:13.390000,0 days 01:13:43.313000,293.0,321.0,220.0,328.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:12:20.241000,,1,,,,False,True,24
0 days 00:20:17.406000,TSU,22,0 days 00:01:23.650000,2.0,1.0,,,0 days 00:00:17.173000,0 days 00:00:36.036000,0 days 00:00:30.441000,0 days 00:19:10.929000,0 days 00:19:46.965000,0 days 00:20:17.406000,293.0,325.0,221.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:53.756000,,1,,,,False,True,24
0 days 00:31:15.553000,TSU,22,0 days 00:01:23.386000,5.0,2.0,,,0 days 00:00:17.032000,0 days 00:00:35.933000,0 days 00:00:30.421000,0 days 00:30:09.199000,0 days 00:30:45.132000,0 days 00:31:15.553000,294.0,326.0,222.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:29:52.167000,,1,,,,False,True,24
0 days 00:45:12.416000,TSU,22,0 days 00:01:23.328000,8.0,3.0,,,0 days 00:00:17.046000,0 days 00:00:35.965000,0 days 00:00:30.317000,0 days 00:44:06.134000,0 days 00:44:42.099000,0 days 00:45:12.416000,294.0,325.0,221.0,330.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:43:49.088000,,1,,,,False,True,24
0 days 00:52:42.642000,TSU,22,0 days 00:01:23.034000,11.0,4.0,,,0 days 00:00:17.007000,0 days 00:00:35.801000,0 days 00:00:30.226000,0 days 00:51:36.615000,0 days 00:52:12.416000,0 days 00:52:42.642000,295.0,324.0,219.0,332.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:51:19.608000,,1,,,,False,True,24
0 days 01:13:06.255000,TSU,22,0 days 00:01:23.083000,16.0,6.0,,,0 days 00:00:16.989000,0 days 00:00:35.914000,0 days 00:00:30.180000,0 days 01:12:00.161000,0 days 01:12:36.075000,0 days 01:13:06.255000,294.0,323.0,219.0,329.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:11:43.172000,,1,,,,False,True,24
0 days 00:21:29.767000,BEA,87,0 days 00:01:23.254000,2.0,1.0,,,0 days 00:00:17.023000,0 days 00:00:36.078000,0 days 00:00:30.153000,0 days 00:20:23.536000,0 days 00:20:59.614000,0 days 00:21:29.767000,292.0,322.0,220.0,324.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:20:06.513000,,1,,,,False,True,24
0 days 00:43:46.734000,BEA,87,0 days 00:01:23.470000,7.0,3.0,,,0 days 00:00:17.107000,0 days 00:00:36.253000,0 days 00:00:30.110000,0 days 00:42:40.371000,0 days 00:43:16.624000,0 days 00:43:46.734000,292.0,320.0,220.0,327.0,True,SOFT,4.0,False,Haas F1 Team,0 days 00:42:23.264000,,1,,,,False,True,24
0 days 00:54:00.593000,BEA,87,0 days 00:01:23.041000,10.0,4.0,,,0 days 00:00:17.005000,0 days 00:00:36.102000,0 days 00:00:29.934000,0 days 00:52:54.557000,0 days 00:53:30.659000,0 days 00:54:00.593000,294.0,320.0,219.0,326.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:52:37.552000,,1,,,,False,True,24
0 days 00:20:44.285000,SAI,55,0 days 00:01:23.627000,2.0,1.0,,,0 days 00:00:17.067000,0 days 00:00:36.213000,0 days 00:00:30.347000,0 days 00:19:37.725000,0 days 00:20:13.938000,0 days 00:20:44.285000,291.0,320.0,219.0,323.0,True,SOFT,2.0,True,Williams,0 days 00:19:20.658000,,1,,,,False,True,24
