DriverNumber,LapTime,LapNumber,SpeedST,TyreLife,TrackTemp,Rainfall,Position,RoundNumber,FuelLevel,QualiBest,Target,DriverPower,TeamPace,C_INTERMEDIATE,Length,Traction,Abrasion,TrackEvolution,TyreStress,Lateral,Downforce,CompoundRating,GapAhead,GapBehind
16,91.832,16.0,288.0,16.0,19.3,1,5.0,1,41.0,75.096,1.2228614040694576,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,3.139,3.445
18,92.554,16.0,275.0,12.0,19.3,1,11.0,1,41.0,75.096,1.2324757643549589,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.703,2.599
22,92.133,16.0,271.0,16.0,19.3,1,6.0,1,41.0,75.096,1.226869606903164,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,3.445,2.603
23,92.464,16.0,267.0,14.0,19.3,1,7.0,1,41.0,75.096,1.2312772983913922,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,2.603,1.057
27,93.856,16.0,272.0,16.0,19.3,1,12.0,1,41.0,75.096,1.249813571961223,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,2.173,2.751
30,93.915,16.0,262.0,15.0,19.4,1,16.0,1,41.0,75.096,1.2505992329817834,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.288,4.073
31,93.951,16.0,254.0,12.0,19.4,1,15.0,1,41.0,75.096,1.25107861936721,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.766,1.288
44,92.749,16.0,269.0,16.0,19.3,1,8.0,1,41.0,75.096,1.2350724406093532,1.0813378035923007,1.081005071523716,1,5278,2,2,3,3,3,3,0,1.057,2.427
63,91.739,16.0,288.0,16.0,19.3,1,4.0,1,41.0,75.096,1.2216229892404389,1.082307011781026,1.0833161500217654,1,5278,2,2,3,3,3,3,0,9.13,3.139
81,90.722,16.0,279.0,16.0,19.3,1,3.0,1,41.0,75.096,1.2080803238521358,1.077153962090554,1.0770376449943158,1,5278,2,2,3,3,3,3,0,0.583,9.13
87,93.395,16.0,276.0,12.0,19.4,1,17.0,1,41.0,75.096,1.2436747629700649,1.0966450061230568,1.0965346807736014,1,5278,2,2,3,3,3,3,0,4.073,100.0
1,93.392,17.0,285.0,17.0,19.4,1,3.0,1,40.0,75.096,1.2436348141046127,1.0760447744453667,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.767,0.713
4,90.264,17.0,284.0,17.0,19.4,1,1.0,1,40.0,75.096,1.20198146372643,1.0767611289386125,1.0770376449943158,1,5278,2,2,3,3,3,3,0,100.0,1.767
5,94.756,17.0,284.0,17.0,19.4,1,14.0,1,40.0,75.096,1.2617982315968892,1.098393489329892,1.0984866747020223,1,5278,2,2,3,3,3,3,0,1.709,3.606
10,92.795,17.0,270.0,17.0,19.4,1,9.0,1,40.0,75.096,1.2356849898796207,1.096341994734344,1.0968507496185484,1,5278,2,2,3,3,3,3,0,2.123,1.245
12,92.312,17.0,277.0,17.0,19.4,1,12.0,1,40.0,75.096,1.2292532225418131,1.084573708892837,1.0833161500217654,1,5278,2,2,3,3,3,3,0,1.297,1.709
14,92.966,17.0,259.0,17.0,19.4,1,10.0,1,40.0,75.096,1.2379620752103973,1.094348160425449,1.0951357984631918,1,5278,2,2,3,3,3,3,0,1.245,2.736
16,92.502,17.0,286.0,17.0,19.4,1,5.0,1,40.0,75.096,1.231783317353787,1.0803511817332088,1.081005071523716,1,5278,2,2,3,3,3,3,0,3.232,3.746
18,93.388,17.0,275.0,13.0,19.4,1,11.0,1,40.0,75.096,1.2435815489506763,1.0958223347850442,1.0951357984631918,1,5278,2,2,3,3,3,3,0,2.736,6.074
22,92.645,17.0,279.0,17.0,19.4,1,6.0,1,40.0,75.096,1.2336875466070096,1.0958071838696755,1.094053183365175,1,5278,2,2,3,3,3,3,0,3.746,2.934
23,93.088,17.0,259.0,15.0,19.4,1,7.0,1,40.0,75.096,1.239586662405454,1.0883597823431241,1.0899718193690289,1,5278,2,2,3,3,3,3,0,2.934,1.342
27,94.817,17.0,277.0,17.0,19.4,1,13.0,1,40.0,75.096,1.2626105251944175,1.0985748091286935,1.0984866747020223,1,5278,2,2,3,3,3,3,0,6.074,1.297
30,94.575,17.0,266.0,16.0,19.4,1,16.0,1,40.0,75.096,1.259387983381272,1.0953088118053491,1.0870170033224884,1,5278,2,2,3,3,3,3,0,1.252,3.553
31,94.737,17.0,268.0,13.0,19.4,1,15.0,1,40.0,75.096,1.2615452221156918,1.096348326492616,1.0965346807736014,1,5278,2,2,3,3,3,3,0,3.606,1.252
